@relation dataemail
@attribute text string
@attribute @@class@@ {PROMO,JOB,INBOX}

@data
'Fashionara: Extra 15% Off on Rs. 2015 + 3 New Coupons.New Year Sale: Extra 15% off on minimum purchase of Rs. 2015. Offer valid till 6th January.Get upto 60% + 25% off on women handbags on a minimum purchase of Rs. 999.Get upto 80% + 25% off on women accessories. No minimum purchase required.Get flat 40% + 25% off on snazzy heels.',PROMO
'Winter Season sale is here.Grab 40% off on  famous brands like Mnago, Biba, Aldo.Designers saree and Bollywood style sarees at flat 30% off.New styles in boots,wedges,sandals with a sale upto 40% off.Pick the offer now.',PROMO
'World of Titan presents Brand New Collection of Ceramics.Smooth, stylish and comfortable accessories that sits easy on your wrists. The watches from ceramic collection are made from Hi Tech ceramic which is lighter scratch resistance and strong.',PROMO
'Whats Up 2015.Be the top Star. Upto 70% off pick your sizes - XS S M L XL XXL. Shop now and layer like a pro and be the spoilt choice with the shoes- sassy and we know it.Pick your style ans steal worthy bags.',PROMO
'Happy New Year! Welcome 2015 with 25% OFF on COATS.Flat 25% off on coats shop now.Hot in cold over coat-2599 Rs Warm Connection overcoat 1499 Rs. Shades of winter overcoat 2699 Rs Warm and chick winter coat 2599 Rs Grey Goose Winter Coat 2599 Rs Brownie Point winter coat 2599  Rs.',PROMO
'Trend of Season sale is here! Upto 40% off on Allen Solly, Pantaloons, People & Van Heusen.Brand new designs in Twws and Tops upto 40% off. Fashion Accessories upto 30% off ,footware available at flat 60% off, Night waer at flat 20% off. Grab Chick dresses startint at 499 Rs. only.',PROMO
'Trend of Season sale is here! Upto 40% off on Allen Solly, Pantaloons, People & Van Heusen.Brand new designs in Twws and Tops upto 40% off. Fashion Accessories upto 30% off ,footware available at flat 60% off, Night waer at flat 20% off. Grab Chick dresses startint at 499 Rs. only.',PROMO
'New year greetings? Let us talk about New Year Eve.We all do some crazy things to say a loud off off to the old year.And to welcome the fresh year with all craziness we got.Heres our version of crazy NYEs spent. Things we do that we dread,and some that we cherish years later. Enjoy Get flat 50% off across our website',PROMO
'Catch the Exclusive Louis Philippe Preview Sale- Upto 50% Off.Preview sale upto 50% off on Louis Philippe, Shirts , Trousers, Pants ,Jeans, Available at flat %50% off on brands like Allen Solly, Pantaloons, Peter England.Shoes both formal and sports available at flat 30% off.',PROMO
'Are you ready for Indias BIGGEST fashion sale ever? Starting 3rd Jan.End of Reason Sale. India Biggest Fashion Sale 3rd and 4th Jan starts at 8:00am. Shop till you drop. Create your own wishlist.Get ahead of the crowd. Update your account. Save your card details.Update your cart.',PROMO
'Happy New Year Greetings!!New Year Sale.Wishing you a happy and prosperous New Year. The Gud Look wishes you and your families all the very best for the New Year. 2014 has been a fantastic year for us and we wanted to send you notice that we appreciate you placing your trust in us this past year and we look forward to seeing you in the new year',PROMO
